lower_seed_won,seed_diff,round,region,home_team,home_seed,home_gp,home_ppg,home_fgm,home_fga,home_fgp,home_3pm,home_3pa,home_3pp,home_ftm,home_fta,home_ftp,home_orb,home_drb,home_rpg,home_apg,home_spg,home_bpg,home_tov,home_pf,home_off,home_def,home_temp,home_luck,home_sched,home_oppo,home_oppd,away_team,away_seed,away_gp,away_ppg,away_fgm,away_fga,away_fgp,away_3pm,away_3pa,away_3pp,away_ftm,away_fta,away_ftp,away_orb,away_drb,away_rpg,away_apg,away_spg,away_bpg,away_tov,away_pf,away_off,away_def,away_temp,away_luck,away_sched,away_oppo,away_oppd,dif_off,dif_def,dif_temp,dif_luck,dif_sched,dif_oppo,dif_oppd,dif_ppg,dif_fgm,dif_fga,dif_fgp,dif_3pm,dif_3pa,dif_3pp,dif_ftm,dif_fta,dif_ftp,dif_orb,dif_drb,dif_rpg,dif_apg,dif_spg,dif_bpg,dif_tov,dif_pf
1,13,64,mw,Houston,2,32,76.1,26.7,61.3,0.435,9.1,25.7,0.354,13.6,18.6,0.731,13.9,25.3,39.2,13.9,8,4.7,10.7,18,118.3,89.6,64.4,0.018,9.21,105.7,96.5,Cleveland State,15,27,70.9,26,57.7,0.45,6.4,19.8,0.321,12.6,18.8,0.671,10,23.5,33.4,13.7,7,2.6,12.9,19.4,100.6,100.7,66.1,0.199,-0.83,105.1,106,17.7,-11.1,-1.7,-0.181,10.04,0.6,-9.5,5.2,0.7,3.6,-0.015,2.7,5.9,0.033,1,-0.2,0.06,3.9,1.8,5.8,0.2,1,2.1,-2.2,-1.4
1,7,32,w,Gonzaga,1,32,91,33.7,61.4,0.549,7.5,20.4,0.368,16,21.9,0.731,8.6,27.4,36,18.8,7.9,2.8,12,16.3,126.4,89.9,73.8,0.022,11.35,108.1,96.8,Oklahoma,8,27,74.5,26.7,60.4,0.443,7.9,23,0.341,13.2,17.7,0.745,9.3,25.6,34.8,13.3,7.1,3.6,10.9,14.7,112.1,95.1,67.1,-0.025,14.29,109.5,95.2,14.3,-5.2,6.7,0.047,-2.94,-1.4,1.6,16.5,7,1,0.106,-0.4,-2.6,0.027,2.8,4.2,-0.014,-0.7,1.8,1.2,5.5,0.8,-0.8,1.1,1.6
1,8,32,w,Creighton,5,31,76,28.3,60.1,0.472,9.5,26.2,0.361,9.9,15.4,0.64,8,26.8,34.7,15.6,7,3.3,11,15.4,113.4,92.8,68.7,0.017,13.19,108.8,95.6,Ohio,13,25,79.2,29.1,60.8,0.479,8.4,23.7,0.352,12.6,17.9,0.703,9.8,24.8,34.6,17.4,6.5,2.1,12.1,15.8,111.4,100.9,69.2,0.031,5.23,106.1,100.9,2,-8.1,-0.5,-0.014,7.96,2.7,-5.3,-3.2,-0.8,-0.7,-0.007,1.1,2.5,0.009,-2.7,-2.5,-0.063,-1.8,2,0.1,-1.8,0.5,1.2,-1.1,-0.4
0,3,32,w,Kansas,3,30,73,26.3,60.3,0.436,7.6,22.1,0.342,12.9,18,0.716,10.9,25.7,36.6,13.8,6.9,4,12,15.3,110.1,90.2,68.2,0.07,15.83,110.7,94.8,USC,6,33,74.9,27.4,58.1,0.472,6.5,18,0.36,13.7,21.1,0.649,11.2,26.7,37.8,13.9,4.8,5.1,12.4,15.1,115.7,88.1,67,0.001,16.27,111.1,94.8,-5.6,2.1,1.2,0.069,-0.44,-0.4,0,-1.9,-1.1,2.2,-0.036,1.1,4.1,-0.018,-0.8,-3.1,0.067,-0.3,-1,-1.2,-0.1,2.1,-1.1,-0.4,0.2
0,5,32,w,Iowa,2,31,83.7,29.8,63.3,0.471,9.7,25.2,0.386,14.5,20.2,0.715,11,28.1,39.1,19.2,5.6,4.5,9.5,14.9,123.5,96.7,69.9,-0.027,16.41,110.4,94,Oregon,7,28,74.9,27.8,59,0.472,8.4,22.2,0.377,10.9,15.3,0.711,9.1,23,32,13.9,7.4,3.7,11.4,15.5,117.2,95.4,67.2,0.049,15.2,110.6,95.4,6.3,1.3,2.7,-0.076,1.21,-0.2,-1.4,8.8,2,4.3,-0.001,1.3,3,0.009,3.6,4.9,0.004,1.9,5.1,7.1,5.3,-1.8,0.8,-1.9,-0.6
1,7,32,e,Michigan,1,28,75.8,27.5,57.1,0.482,7.4,19.3,0.381,13.3,17.3,0.769,8.7,27.6,36.3,15.8,4.3,4.2,11.3,14.7,117.6,87.9,66.6,0.007,16.44,111.7,95.3,LSU,8,29,81.8,28.8,62.9,0.459,8.1,23.2,0.347,16,21.4,0.75,11,26.2,37.3,12.1,7.8,2.9,11.4,17.4,120.1,99.8,70.6,-0.007,14.77,108.7,93.9,-2.5,-11.9,-4,0.014,1.67,3,1.4,-6,-1.3,-5.8,0.023,-0.7,-3.9,0.034,-2.7,-4.1,0.019,-2.3,1.4,-1,3.7,-3.5,1.3,-0.1,-2.7
1,1,32,e,Florida State,4,25,77.2,27.7,58.4,0.474,7.7,20.4,0.376,14,19,0.741,10.8,25,35.8,14.5,7.3,5.1,14.4,18.4,114.9,92.8,69.9,0.002,13.48,109.5,96,Colorado,5,32,73.1,25.9,56.7,0.456,7.7,20.7,0.372,13.7,16.7,0.819,9,24.5,33.5,13.6,5.2,2.8,11.4,16.4,116.3,91.2,66.1,-0.025,15.43,110.3,94.9,-1.4,1.6,3.8,0.027,-1.95,-0.8,1.1,4.1,1.8,1.7,0.018,0,-0.3,0.004,0.3,2.3,-0.078,1.8,0.5,2.3,0.9,2.1,2.3,3,2
1,3,32,e,UCLA,11,32,73.4,26.8,58,0.461,6.8,18.3,0.372,13.1,18.3,0.715,9.5,24.6,34.1,13.7,4.9,2.8,10.6,16.1,116.9,94.5,63.8,0.028,17.38,111.3,93.9,Abilene Christian,14,29,75.7,27.1,60.4,0.449,7.6,22.2,0.344,13.9,20.5,0.678,11.1,24,35,17.7,9.7,3,13.6,19.1,101.7,91.6,69.3,0.009,-5.43,99.4,104.8,15.2,2.9,-5.5,0.019,22.81,11.9,-10.9,-2.3,-0.3,-2.4,0.012,-0.8,-3.9,0.028,-0.8,-2.2,0.037,-1.6,0.6,-0.9,-4,-4.8,-0.2,-3,-3
1,8,32,e,Alabama,2,33,79.7,28,64.4,0.435,10.5,30,0.352,13.1,18.5,0.708,11.9,27.3,39.2,14.1,8.5,4.3,13.9,18.3,112.9,87.8,73.3,0.02,14.8,110.1,95.3,Maryland,10,31,68.9,24.3,52.8,0.46,8.2,22.8,0.357,12.1,17.4,0.699,6,25.5,31.5,13.4,5,3.3,11.1,14.7,111.8,94.1,64.7,-0.024,17.1,110.2,93.1,1.1,-6.3,8.6,0.044,-2.3,-0.1,2.2,10.8,3.7,11.6,-0.025,2.3,7.2,-0.005,1,1.1,0.009,5.9,1.8,7.7,0.7,3.5,1,2.8,3.6
1,8,32,s,Baylor,1,30,82.9,30.6,62.9,0.486,10,24.1,0.413,11.8,16.7,0.708,11.9,22.4,34.3,16.9,8.9,3.7,11.5,17.1,125,91.1,67.4,0.046,13.25,108.7,95.5,Wisconsin,9,31,69.9,24.7,58.2,0.425,8.7,23.8,0.365,11.7,15.3,0.768,7.8,24.8,32.6,13.4,5.6,4,9.1,16.1,113,90.6,64.6,-0.052,18.13,112.1,93.9,12,0.5,2.8,0.098,-4.88,-3.4,1.6,13,5.9,4.7,0.061,1.3,0.3,0.048,0.1,1.4,-0.06,4.1,-2.4,1.7,3.5,3.3,-0.3,2.4,1
