lower_seed_won,seed_diff,round,region,home_team,home_seed,home_gp,home_ppg,home_fgm,home_fga,home_fgp,home_3pm,home_3pa,home_3pp,home_ftm,home_fta,home_ftp,home_orb,home_drb,home_rpg,home_apg,home_spg,home_bpg,home_tov,home_pf,home_off,home_def,home_temp,home_luck,home_sched,home_oppo,home_oppd,away_team,away_seed,away_gp,away_ppg,away_fgm,away_fga,away_fgp,away_3pm,away_3pa,away_3pp,away_ftm,away_fta,away_ftp,away_orb,away_drb,away_rpg,away_apg,away_spg,away_bpg,away_tov,away_pf,away_off,away_def,away_temp,away_luck,away_sched,away_oppo,away_oppd,dif_off,dif_def,dif_temp,dif_luck,dif_sched,dif_oppo,dif_oppd,dif_ppg,dif_fgm,dif_fga,dif_fgp,dif_3pm,dif_3pa,dif_3pp,dif_ftm,dif_fta,dif_ftp,dif_orb,dif_drb,dif_rpg,dif_apg,dif_spg,dif_bpg,dif_tov,dif_pf
0,9,16,e,Alabama,2,33,79.7,28,64.4,0.435,10.5,30,0.352,13.1,18.5,0.708,11.9,27.3,39.2,14.1,8.5,4.3,13.9,18.3,112.9,87.8,73.3,0.02,14.8,110.1,95.3,UCLA,11,32,73.4,26.8,58,0.461,6.8,18.3,0.372,13.1,18.3,0.715,9.5,24.6,34.1,13.7,4.9,2.8,10.6,16.1,116.9,94.5,63.8,0.028,17.38,111.3,93.9,-4,-6.7,9.5,-0.008,-2.58,-1.2,1.4,6.3,1.2,6.4,-0.026,3.7,11.7,-0.02,0,0.2,-0.007,2.4,2.7,5.1,0.4,3.6,1.5,3.3,2.2
1,4,16,s,Baylor,1,30,82.9,30.6,62.9,0.486,10,24.1,0.413,11.8,16.7,0.708,11.9,22.4,34.3,16.9,8.9,3.7,11.5,17.1,125,91.1,67.4,0.046,13.25,108.7,95.5,Villanova,5,25,74.8,26.2,57.8,0.453,9.2,25.9,0.353,13.2,17.4,0.708,8.8,24.1,32.9,15,5.1,1.9,9.1,15.5,119,96,64.2,-0.007,13.66,109.3,95.7,6,-4.9,3.2,0.053,-0.41,-0.6,-0.2,8.1,4.4,5.1,0.033,0.8,-1.8,0.06,-1.4,-0.7,0,3.1,-1.7,1.4,1.9,3.8,1.8,2.4,1.6
1,12,16,s,Arkansas,3,32,81.4,29.2,64.7,0.451,7.3,21.9,0.332,15.7,21.2,0.74,11.5,26.9,38.4,14.6,7.8,4.9,12.9,16.9,111.1,89.6,72.6,0.064,12.69,109.4,96.7,Oral Roberts,15,29,81.1,28,62.2,0.449,11.1,29.3,0.38,14,17.1,0.708,7.8,25.6,33.3,12.8,6.6,3.8,11.4,17.3,109.3,104.4,71.4,0.023,4.09,105.2,101.1,1.8,-14.8,1.2,0.041,8.6,4.2,-4.4,0.3,1.2,2.5,0.002,-3.8,-7.4,-0.048,1.7,4.1,0.032,3.7,1.3,5.1,1.8,1.2,1.1,1.5,-0.4
0,4,16,mw,Loyola Chicago,8,31,71,25.9,52.1,0.498,7.1,19.5,0.365,12,16.7,0.708,7.4,24.3,31.6,15.8,6.9,2.4,11.7,14.3,111.3,87,63.7,-0.024,6.27,105.6,99.4,Oregon State,12,33,70.5,24.3,55.8,0.436,7,19.5,0.357,14.8,19.5,0.708,9.7,23.5,33.2,14.5,5.8,3.5,11.6,18.8,112.1,95.7,65.5,0.072,16.72,111.2,94.5,-0.8,-8.7,-1.8,-0.096,-10.45,-5.6,4.9,0.5,1.6,-3.7,0.062,0.1,0,0.008,-2.8,-2.8,0,-2.3,0.8,-1.6,1.3,1.1,-1.1,0.1,-4.5
1,9,16,mw,Houston,2,32,76.1,26.7,61.3,0.435,9.1,25.7,0.354,13.6,18.6,0.708,13.9,25.3,39.2,13.9,8,4.7,10.7,18,118.3,89.6,64.4,0.018,9.21,105.7,96.5,Syracuse,11,28,74.8,26.5,60.1,0.441,8.5,24.3,0.349,13.3,17,0.708,9.8,24.6,34.5,15,8.1,5,11.4,14.6,113.7,96.9,68.6,0.029,12.94,109.4,96.5,4.6,-7.3,-4.2,-0.011,-3.73,-3.7,0,1.3,0.2,1.2,-0.006,0.6,1.4,0.005,0.3,1.6,0,4.1,0.7,4.7,-1.1,-0.1,-0.3,-0.7,3.4
1,5,8,w,Gonzaga,1,32,91,33.7,61.4,0.549,7.5,20.4,0.368,16,21.9,0.708,8.6,27.4,36,18.8,7.9,2.8,12,16.3,126.4,89.9,73.8,0.022,11.35,108.1,96.8,USC,6,33,74.9,27.4,58.1,0.472,6.5,18,0.36,13.7,21.1,0.708,11.2,26.7,37.8,13.9,4.8,5.1,12.4,15.1,115.7,88.1,67,0.001,16.27,111.1,94.8,10.7,1.8,6.8,0.021,-4.92,-3,2,16.1,6.3,3.3,0.077,1,2.4,0.008,2.3,0.8,0,-2.6,0.7,-1.8,4.9,3.1,-2.3,-0.4,1.2
0,10,8,e,Michigan,1,28,75.8,27.5,57.1,0.482,7.4,19.3,0.381,13.3,17.3,0.708,8.7,27.6,36.3,15.8,4.3,4.2,11.3,14.7,117.6,87.9,66.6,0.007,16.44,111.7,95.3,UCLA,11,32,73.4,26.8,58,0.461,6.8,18.3,0.372,13.1,18.3,0.708,9.5,24.6,34.1,13.7,4.9,2.8,10.6,16.1,116.9,94.5,63.8,0.028,17.38,111.3,93.9,0.7,-6.6,2.8,-0.021,-0.94,0.4,1.4,2.4,0.7,-0.9,0.021,0.6,1,0.009,0.2,-1,0,-0.8,3,2.2,2.1,-0.6,1.4,0.7,-1.4
1,2,8,s,Baylor,1,30,82.9,30.6,62.9,0.486,10,24.1,0.413,11.8,16.7,0.708,11.9,22.4,34.3,16.9,8.9,3.7,11.5,17.1,125,91.1,67.4,0.046,13.25,108.7,95.5,Arkansas,3,32,81.4,29.2,64.7,0.451,7.3,21.9,0.332,15.7,21.2,0.74,11.5,26.9,38.4,14.6,7.8,4.9,12.9,16.9,111.1,89.6,72.6,0.064,12.69,109.4,96.7,13.9,1.5,-5.2,-0.018,0.56,-0.7,-1.2,1.5,1.4,-1.8,0.035,2.7,2.2,0.081,-3.9,-4.5,-0.032,0.4,-4.5,-4.1,2.3,1.1,-1.2,-1.4,0.2
1,10,8,mw,Houston,2,32,76.1,26.7,61.3,0.435,9.1,25.7,0.354,13.6,18.6,0.708,13.9,25.3,39.2,13.9,8,4.7,10.7,18,118.3,89.6,64.4,0.018,9.21,105.7,96.5,Oregon State,12,33,70.5,24.3,55.8,0.436,7,19.5,0.357,14.8,19.5,0.708,9.7,23.5,33.2,14.5,5.8,3.5,11.6,18.8,112.1,95.7,65.5,0.072,16.72,111.2,94.5,6.2,-6.1,-1.1,-0.054,-7.51,-5.5,2,5.6,2.4,5.5,-0.001,2.1,6.2,-0.003,-1.2,-0.9,0,4.2,1.8,6,-0.6,2.2,1.2,-0.9,-0.8
1,10,4,indianapolis,Gonzaga,1,32,91,33.7,61.4,0.549,7.5,20.4,0.368,16,21.9,0.708,8.6,27.4,36,18.8,7.9,2.8,12,16.3,126.4,89.9,73.8,0.022,11.35,108.1,96.8,UCLA,11,32,73.4,26.8,58,0.461,6.8,18.3,0.372,13.1,18.3,0.708,9.5,24.6,34.1,13.7,4.9,2.8,10.6,16.1,116.9,94.5,63.8,0.028,17.38,111.3,93.9,9.5,-4.6,10,-0.006,-6.03,-3.2,2.9,17.6,6.9,3.4,0.088,0.7,2.1,-0.004,2.9,3.6,0,-0.9,2.8,1.9,5.1,3,0,1.4,0.2
1,1,4,indianapolis,Baylor,1,30,82.9,30.6,62.9,0.486,10,24.1,0.413,11.8,16.7,0.708,11.9,22.4,34.3,16.9,8.9,3.7,11.5,17.1,125,91.1,67.4,0.046,13.25,108.7,95.5,Houston,2,32,76.1,26.7,61.3,0.435,9.1,25.7,0.354,13.6,18.6,0.708,13.9,25.3,39.2,13.9,8,4.7,10.7,18,118.3,89.6,64.4,0.018,9.21,105.7,96.5,6.7,1.5,3,0.028,4.04,3,-1,6.8,3.9,1.6,0.051,0.9,-1.6,0.059,-1.8,-1.9,0,-2,-2.9,-4.9,3,0.9,-1,0.8,-0.9
0,0,2,indianapolis,Gonzaga,1,32,91,33.7,61.4,0.549,7.5,20.4,0.368,16,21.9,0.708,8.6,27.4,36,18.8,7.9,2.8,12,16.3,126.4,89.9,73.8,0.022,11.35,108.1,96.8,Baylor,1,30,82.9,30.6,62.9,0.486,10,24.1,0.413,11.8,16.7,0.708,11.9,22.4,34.3,16.9,8.9,3.7,11.5,17.1,125,91.1,67.4,0.046,13.25,108.7,95.5,1.4,-1.2,6.4,-0.024,-1.9,-0.6,1.3,8.1,3.1,-1.5,0.063,-2.5,-3.7,-0.045,4.2,5.2,0,-3.3,5,1.7,1.9,-1,-0.9,0.5,-0.8
